FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,31,Department of Law,0740,Chicago O'Hare Airport Fund,1005,Department of Law,2005,Department of Law,3038,Aviation  Environmental and Regulatory Litigation,4034,Aviation Litigation,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,987.00,987
LOCAL,31,Department of Law,0740,Chicago O'Hare Airport Fund,1005,Department of Law,2005,Department of Law,3707,Appeals,0,,L 03,9,1673,Assistant Corporation Counsel III,Annual,1,1,115140.00,115140
LOCAL,31,Department of Law,0740,Chicago O'Hare Airport Fund,1005,Department of Law,2005,Department of Law,3749,Collections  Ownership and Administrative Litigation,0,,L 01,9,1643,Assistant Corporation Counsel I,Annual,1,1,126336.00,126336
LOCAL,33,Department of Human Resources,0740,Chicago O'Hare Airport Fund,1005,Department of Human Resources,2005,Department of Human Resources,3040,Employment Services  Hiring and Compensation,4045,Hiring Classification,G 04,1,1370,Testing Administrator,Annual,1,1,95592.00,95592
LOCAL,33,Department of Human Resources,0740,Chicago O'Hare Airport Fund,1005,Department of Human Resources,2005,Department of Human Resources,3040,Employment Services  Hiring and Compensation,4046,Employee Processing,G 05,1,1357,Recruiting Coordinator,Annual,1,1,74232.00,74232
LOCAL,33,Department of Human Resources,0740,Chicago O'Hare Airport Fund,1005,Department of Human Resources,2005,Department of Human Resources,3040,Employment Services  Hiring and Compensation,4046,Employee Processing,GY 10,20,1352,Assistant EEO Officer,Annual,1,1,94500.00,94500
LOCAL,33,Department of Human Resources,0740,Chicago O'Hare Airport Fund,1005,Department of Human Resources,2005,Department of Human Resources,3040,Employment Services  Hiring and Compensation,4046,Employee Processing,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2784.00,2784
LOCAL,33,Department of Human Resources,0740,Chicago O'Hare Airport Fund,1005,Department of Human Resources,2005,Department of Human Resources,3720,Employment Services  Hiring and Compensation,0,,G 08,4,1380,Recruiter,Annual,2,1,137436.00,274872
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3006,Departmental Administration,4006,Administration,GY 12,20,1633,Attorney-Excluded,Annual,1,1,123060.00,123060
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3006,Departmental Administration,4006,Administration,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2124.00,2124
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4008,Design and Construction,BX 18,0,1508,Senior Procurement Specialist,Annual,1,1,94992.00,94992
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4008,Design and Construction,B 15,1,1507,Procurement Specialist,Annual,1,1,110316.00,110316
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4008,Design and Construction,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1488.00,1488
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4026,Shared Administrative Services,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,60720.00,60720
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4026,Shared Administrative Services,B 10,1,03A7,Administrative Assistant,Annual,1,1,51972.00,51972
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4026,Shared Administrative Services,B 10,1,03A7,Administrative Assistant,Annual,1,1,50424.00,50424
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4026,Shared Administrative Services,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1938.00,1938
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4106,Goods and Services,B 15,1,1507,Procurement Specialist,Annual,2,1,80232.00,160464
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4110,Enterprise Procurement,X 32,9,1556,Deputy Procurement Officer,Annual,1,1,163068.00,163068
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4110,Enterprise Procurement,X 33,9,1554,Assistant Procurement Officer,Annual,1,1,133524.00,133524
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4110,Enterprise Procurement,BX 18,0,1508,Senior Procurement Specialist,Annual,1,1,139056.00,139056
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4110,Enterprise Procurement,BX 18,0,1508,Senior Procurement Specialist,Annual,1,1,94992.00,94992
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4110,Enterprise Procurement,BX 18,0,1508,Senior Procurement Specialist,Annual,3,1,86520.00,259560
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4110,Enterprise Procurement,B 15,1,1507,Procurement Specialist,Annual,1,1,80232.00,80232
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3012,Contract Management,4110,Enterprise Procurement,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,15751.00,15751
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3024,Office of Contracting Equity,4031,Contracting Equity,G 08,1,1505,Senior Certification / Compliance Officer,Annual,1,1,137436.00,137436
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3024,Office of Contracting Equity,4031,Contracting Equity,G 06,1,1504,Certification / Compliance Officer,Annual,1,1,115380.00,115380
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3024,Office of Contracting Equity,4031,Contracting Equity,G 06,1,1504,Certification / Compliance Officer,Annual,1,1,90228.00,90228
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3024,Office of Contracting Equity,4031,Contracting Equity,G 06,1,1504,Certification / Compliance Officer,Annual,1,1,79260.00,79260
LOCAL,35,Department of Procurement Services,0740,Chicago O'Hare Airport Fund,1005,Department of Procurement Services,2005,Department of Procurement Services,3024,Office of Contracting Equity,4031,Contracting Equity,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1185.00,1185
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,BX 15,10,7177,Equipment Rental Coordinator,Annual,1,1,74244.00,74244
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,GY 08,10,6085,Senior Automotive Equipment Analyst,Annual,1,1,108816.00,108816
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3201,Equipment Project Management,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,2072.00,2072
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3214,Fuel Services,0,,B 09,1,0460,Senior Office Assistant,Annual,1,1,45984.00,45984
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3220,Road Services,0,,2 0,8,7124,Equipment Dispatcher,Hourly,1,1,48.06,99965
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3220,Road Services,0,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,1499.00,1499
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,2 0,8,7186,Motor Truck Driver - Tire Repair,Hourly,1,1,47.94,99715
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,2 0,8,7183,Motor Truck Driver,Hourly,2,1,47.23,196477
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,2 0,8,7160,Fleet Services Assistant,Hourly,18,1,32.59,1220170
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,P 12,8,7136,Service Writer,Annual,1,1,105372.00,105372
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,P 12,8,7136,Service Writer,Annual,1,1,91680.00,91680
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,P 12,8,7136,Service Writer,Annual,1,1,75372.00,75372
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,BX 18,10,7047,Manager - Vehicle Maintenance,Annual,1,1,115488.00,115488
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,2 0,36,6679,Foreman of Machinists - Automotive,Hourly,8,1,62.39,1038170
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,2 0,36,6673,Machinist - Automotive,Hourly,46,1,58.39,5586755
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,2 0,32,5045,Foreman of Electrical Mechanics (Auto),Hourly,2,1,61.11,254218
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,2 0,32,5034,Electrical Mechanic - Automotive,Hourly,14,1,55.55,1617616
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,B 11,1,0109,Accounting Technician,Annual,1,1,55344.00,55344
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,8297.00,8297
LOCAL,38,Department of Fleet and Facility Management,0740,Chicago O'Hare Airport Fund,1005,Fleet and Facility Management,2140,Bureau of Fleet Operations,3225,Fleet Operations - O'Hare,0,,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,150197.00,150197
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,3 00,99,9752,Commander,Annual,1,1,186636.00,186636
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,E 04,73,9173,Lieutenant,Annual,1,1,157926.00,157926
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,E 04,73,9173,Lieutenant,Annual,1,1,144264.00,144264
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,E 03,71,9171,Sergeant,Annual,7,1,140640.00,984480
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,E 03,71,9171,Sergeant,Annual,1,1,136230.00,136230
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,E 03,71,9171,Sergeant,Annual,3,1,131994.00,395982
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,E 03,71,9171,Sergeant,Annual,3,1,127974.00,383922
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,53,1,123444.00,6542532
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,14,1,119976.00,1679664
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,11,1,115686.00,1272546
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,1,1,111804.00,111804
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,3,1,108012.00,324036
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,2,1,102822.00,205644
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,6,1,93186.00,559116
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,50,1,88170.00,4408500
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 01,91,9161,Police Officer,Annual,32,1,61782.00,1977024
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 02,91,9153,Police Officer - Assigned as Explosives Detection Canine Handler,Annual,12,1,129756.00,1557072
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 02,91,9153,Police Officer - Assigned as Explosives Detection Canine Handler,Annual,5,1,125994.00,629970
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 02,91,9153,Police Officer - Assigned as Explosives Detection Canine Handler,Annual,2,1,121470.00,242940
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 02,91,9153,Police Officer - Assigned as Explosives Detection Canine Handler,Annual,3,1,117378.00,352134
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,D 02,91,9153,Police Officer - Assigned as Explosives Detection Canine Handler,Annual,2,1,88170.00,176340
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3335,Airport Operations North - O'Hare,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,176289.00,176289
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,Special Functions Division,4228,Bomb Squad North - O'Hare,D 03,91,9158,Explosives Technician I,Annual,1,1,142962.00,142962
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,Special Functions Division,4228,Bomb Squad North - O'Hare,D 03,91,9158,Explosives Technician I,Annual,1,1,138510.00,138510
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,Special Functions Division,4228,Bomb Squad North - O'Hare,D 03,91,9158,Explosives Technician I,Annual,2,1,134292.00,268584
LOCAL,57,Chicago Police Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Police Department,2028,Bureau of Counter-Terrorism,3338,Special Functions Division,4228,Bomb Squad North - O'Hare,D 03,91,9158,Explosives Technician I,Annual,1,1,129984.00,129984
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 10,1,8615,Communications Operator I - 3-1-1,Annual,2,1,87516.00,175032
LOCAL,85,Chicago Department of Aviation,0740,Chicago O'Hare Airport Fund,1005,Chicago Department of Aviation,2015,Chicago-O'Hare International Airport,3015,Chicago-O'Hare International Airport,4404,Payroll Processing,B 17,1,0121,Payroll Administrator,Annual,1,1,96588.00,96588
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 10,1,8615,Communications Operator I - 3-1-1,Annual,1,1,62604.00,62604
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 10,1,8615,Communications Operator I - 3-1-1,Annual,1,1,59760.00,59760
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 10,1,8615,Communications Operator I - 3-1-1,Annual,1,1,54492.00,54492
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 10,1,8615,Communications Operator I - 3-1-1,Annual,10,1,50424.00,504240
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 14,1,8614,Supervisor of 3-1-1 Operations,Annual,1,1,73140.00,73140
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,B 10,1,03A7,Administrative Assistant,Annual,1,1,79752.00,79752
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3045,Non-Emergency Services,4135,Operations Non-Emergency Services,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1265.00,1265
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,5,1,71436.00,357180
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,1,1,68196.00,68196
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,1,1,65064.00,65064
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,3,1,62136.00,186408
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,24,1,46416.00,1113984
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,1,1,44292.00,44292
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,4,1,42312.00,169248
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9112,Traffic Control Aide,Annual,8,1,40392.00,323136
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 12,2,9105,Supervising Traffic Control Aide,Annual,2,1,74844.00,149688
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 12,2,9105,Supervising Traffic Control Aide,Annual,3,1,48588.00,145764
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,I 10,2,9104,Traffic Control Aide - Hourly,Hourly,34519,0,22.04,760799
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,BX 16,10,6290,Superintendent of Special Traffic Service,Annual,1,1,115488.00,115488
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,B 10,1,03A7,Administrative Assistant,Annual,1,1,76152.00,76152
LOCAL,58,Office of Emergency Management and Communications,0740,Chicago O'Hare Airport Fund,1010,Office of Emergency Management and Communications,2705,Office of Emergency Management and Communications,3050,City Operations,4145,Traffic Management Authority,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,111558.00,111558
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 3A,87,8820,Firefighter - Per Arbitrators Award - EMT,Annual,2,1,118830.00,237660
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 3A,87,8819,Firefighter - Per Arbitrators Award - Paramedic,Annual,1,1,125202.00,125202
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 5B,87,8817,Captain - EMT,Annual,10,1,151764.00,1517640
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 5B,87,8817,Captain - EMT,Annual,2,1,147258.00,294516
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 5P,87,8814,Lieutenant - Paramedic - Assigned as Training Instructor,Annual,1,1,141948.00,141948
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 4P,87,8812,Lieutenant - Paramedic,Annual,1,1,138378.00,138378
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 4P,87,8812,Lieutenant - Paramedic,Annual,1,1,134028.00,134028
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 4P,87,8812,Lieutenant - Paramedic,Annual,1,1,129834.00,129834
LOCAL,59,Chicago Fire Department,0740,Chicago O'Hare Airport Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3104,Operations,4718,Fire Suppression and Rescue,F 4P,87,8812,Lieutenant - Paramedic,Annual,2,1,125904.00,251808
